tau,tau_true,category,TP,FP,FN,TN,N,removed,kept,Precision,Recall,TPR,TNR,FPR,FNR,sample_fp_share_all,sample_fp_share_removed,sample_fn_share_all,sample_fn_share_kept,severity_index_fp,severity_index_fp_t1,severity_ratio_fp,volume_scenario,posts_per_day,days_in_period,n_period_posts,s_fp,loss_share_fp_raw,fp_total_cost_period_raw,fp_total_cost_period,loss_share_fp,fp_denominator_posts_period,eur_per_fp,fp_total_cost_sample
0.04,0.5,META3_ANY,7485,31524,636,60355,100000,39009,60991,0.19187879720064602,0.9216845216106391,0.9216845216106391,0.656896570489448,0.3431034295105519,0.07831547838936091,0.31524,0.808121202799354,0.00636,0.010427768031348887,0.9199999999981601,0.39999999999920005,2.3,low,1260900000.0,181,228222900000.0,0.06,0.13799999999999998,11100960307.298334,11100960307.298334,0.13799999999999998,71944986996.0,0.15429789858625628,4864.086955033143
0.03,0.5,META3_ANY,7507,32239,614,59640,100000,39746,60254,0.18887435213606402,0.924393547592661,0.924393547592661,0.6491145963713144,0.35088540362868553,0.075606452407339,0.32239,0.811125647863936,0.00614,0.010190194841836227,0.93999999999812,0.39999999999920005,2.3499999999999996,low,1260900000.0,181,228222900000.0,0.06,0.141,11342285531.370037,11342285531.370037,0.141,73576780731.0,0.1541557733116639,4969.827975794733
0.02,0.5,META3_ANY,7771,39752,350,52127,100000,47523,52477,0.16352082149695937,0.9569018593769241,0.9569018593769241,0.5673440067915411,0.43265599320845893,0.04309814062307597,0.39752,0.8364791785030407,0.0035,0.006669588581664348,0.9599999999980801,0.39999999999920005,2.4,low,1260900000.0,181,228222900000.0,0.06,0.144,11583610755.44174,11583610755.44174,0.144,90723167208.0,0.1276808461601007,5075.568996556323
0.01,0.5,META3_ANY,7858,44406,263,47473,100000,52264,47736,0.1503520587785091,0.9676148257603744,0.9676148257603744,0.5166904298044167,0.48330957019558335,0.03238517423962566,0.44406,0.8496479412214909,0.00263,0.0055094687447628625,0.97999999999804,0.39999999999920005,2.4499999999999997,low,1260900000.0,181,228222900000.0,0.06,0.147,11824935979.513443,11824935979.513443,0.147,101344660974.0,0.11668040393906033,5181.310017317913
0.0,0.5,META3_ANY,8121,91879,0,0,100000,100000,0,0.08121,1.0,1.0,0.0,1.0,0.0,0.91879,0.91879,0.0,,0.999999999998,0.39999999999920005,2.5,low,1260900000.0,181,228222900000.0,0.06,0.15,12066261203.585146,12066261203.585146,0.15,209688918291.0,0.05754362844697377,5287.051038079503
0.5,0.5,META3_ANY,4960,8239,3161,83640,100000,13199,86801,0.37578604439730284,0.6107622214013052,0.6107622214013052,0.9103277136233524,0.08967228637664755,0.38923777859869474,0.08239,0.6242139556026972,0.03161,0.03641663114480248,0.0,0.39999999999920005,0.0,low,1260900000.0,181,228222900000.0,0.12,0.0,0.0,0.0,0.0,18803284731.0,0.0,0.0
0.49,0.5,META3_ANY,4960,8239,3161,83640,100000,13199,86801,0.37578604439730284,0.6107622214013052,0.6107622214013052,0.9103277136233524,0.08967228637664755,0.38923777859869474,0.08239,0.6242139556026972,0.03161,0.03641663114480248,0.01999999999996002,0.39999999999920005,0.05000000000000004,low,1260900000.0,181,228222900000.0,0.12,0.0060000000000000045,482650448.1434063,482650448.1434063,0.0060000000000000045,18803284731.0,0.025668411399827687,211.4820415231803
0.48,0.5,META3_ANY,4993,8359,3128,83520,100000,13352,86648,0.37395146794487716,0.6148257603743381,0.6148257603743381,0.9090216480370923,0.09097835196290774,0.3851742396256619,0.08359,0.6260485320551228,0.03128,0.03610008309482042,0.03999999999992004,0.39999999999920005,0.10000000000000007,low,1260900000.0,181,228222900000.0,0.12,0.012000000000000009,965300896.2868125,965300896.2868125,0.012000000000000009,19077152211.0,0.050599842450814767,422.96408304636066
0.47,0.5,META3_ANY,4993,8360,3128,83519,100000,13353,86647,0.37392346289223394,0.6148257603743381,0.6148257603743381,0.9090107641572067,0.09098923584279324,0.3851742396256619,0.0836,0.626076537107766,0.03128,0.03610049972878461,0.05999999999988006,0.39999999999920005,0.15000000000000013,low,1260900000.0,181,228222900000.0,0.12,0.018000000000000016,1447951344.430219,1447951344.430219,0.018000000000000016,19079434439.999996,0.07589068475712214,634.4461245695411
0.46,0.5,META3_ANY,5027,8488,3094,83391,100000,13515,86485,0.37195708472068073,0.6190124368920084,0.6190124368920084,0.9076176275318626,0.09238237246813744,0.38098756310799164,0.08488,0.6280429152793193,0.03094,0.03577498988263861,0.07999999999983996,0.39999999999920005,0.19999999999999987,low,1260900000.0,181,228222900000.0,0.12,0.023999999999999983,1930601792.5736222,1930601792.5736222,0.023999999999999983,19371559752.0,0.09966165953024506,845.9281660927201
0.45,0.5,META3_ANY,5138,8911,2983,82968,100000,14049,85951,0.36571998006975587,0.6326807043467553,0.6326807043467553,0.9030137463402954,0.0969862536597046,0.36731929565324467,0.08911,0.6342800199302442,0.02983,0.03470582075833906,0.09999999999979998,0.39999999999920005,0.24999999999999992,low,1260900000.0,181,228222900000.0,0.12,0.02999999999999999,2413252240.7170286,2413252240.7170286,0.02999999999999999,20336942619.0,0.11866347296778143,1057.4102076159004
0.44,0.5,META3_ANY,5139,8919,2982,82960,100000,14058,85942,0.36555697823303457,0.6328038418913927,0.6328038418913927,0.9029266753012114,0.09707332469878863,0.36719615810860734,0.08919,0.6344430217669654,0.02982,0.03469781945963557,0.11999999999976001,0.39999999999920005,0.3,low,1260900000.0,181,228222900000.0,0.12,0.036,2895902688.860435,2895902688.860435,0.036,20355200451.0,0.14226844367519684,1268.8922491390806
0.43,0.5,META3_ANY,5143,8955,2978,82924,100000,14098,85902,0.3648035182295361,0.6332963920699421,0.6332963920699421,0.9025348556253333,0.09746514437466668,0.36670360793005785,0.08955,0.635196481770464,0.02978,0.0346674117017066,0.13999999999972002,0.39999999999920005,0.35,low,1260900000.0,181,228222900000.0,0.12,0.041999999999999996,3378553137.003841,3378553137.003841,0.041999999999999996,20437360695.0,0.1653125952721676,1480.3742906622608
