tau,posts_per_day,volume_scenario,scenario_s_fn,loss_share,eur_per_FN,FN,total_cost_eur,total_cost_period_eur
0.9,1260900000.0,low,0.075,0.226843100189036,1.1046615532242936,7238,7995.540322237437,18247653994.079624
0.91,1260900000.0,low,0.075,0.23832703213610598,1.1602644407528602,7240,8400.314551050707,19171441477.529907
0.92,1260900000.0,low,0.075,0.2500945179584122,1.216712657731784,7245,8815.083205266774,20118038528.472786
0.93,1260900000.0,low,0.075,0.26214555765595476,1.2721804054640837,7263,9239.84628488564,21087445146.908268
0.94,1260900000.0,low,0.075,0.2744801512287335,1.3110995785211135,7379,9674.603789907296,22079661332.836338
0.95,1260900000.0,low,0.075,0.2870982986767486,1.3628761912904717,7425,10119.355720331752,23094687086.257015
0.96,1260900000.0,low,0.075,0.3,1.4197236944359566,7448,10574.102076159004,24132522407.17029
0.97,1260900000.0,low,0.075,0.3131852551984878,1.468126460618308,7519,11038.842857389058,25193167295.576176
0.98,1260900000.0,low,0.075,0.3266540642722118,1.4522676670057906,7928,11513.578064021907,26276621751.474655
0.99,1260900000.0,low,0.075,0.3404064272211721,1.4847553144484038,8081,11998.30769605755,27382885774.86573
0.5,1260900000.0,low,0.5,0.0,0.0,3161,0.0,0.0
0.51,1260900000.0,low,0.5,0.0009451795841209849,0.010539307606028486,3161,33.314751342656045,76031891.64199856
0.52,1260900000.0,low,0.5,0.0037807183364839394,0.04157847281454732,3205,133.25900537062415,304127566.56799424
0.53,1260900000.0,low,0.5,0.008506616257088864,0.08264409098233307,3628,299.83276208390436,684287024.777987
0.54,1260900000.0,low,0.5,0.015122873345935758,0.14692282841303658,3628,533.0360214824967,1216510266.271977
0.55,1260900000.0,low,0.5,0.02362948960302462,0.22950366039305617,3629,832.8687835664008,1900797291.0499637
0.56,1260900000.0,low,0.5,0.034026465028355456,0.32975833058444254,3637,1199.3310483356174,2737148099.111948
0.57,1260900000.0,low,0.5,0.04631379962192811,0.43083209706786507,3789,1632.4228157901407,3725562690.457917
0.58,1260900000.0,low,0.5,0.060491493383742864,0.5625709989261164,3790,2132.144085929981,4866041065.087894
0.59,1260900000.0,low,0.5,0.07655954631379959,0.7120039205158663,3790,2698.494858755133,6158583223.001868
0.6,1260900000.0,low,0.5,0.09451795841209827,0.8771656488324373,3798,3331.475134265597,7603189164.199839
0.61,1260900000.0,low,0.5,0.11436672967863895,1.0574724324400246,3812,4031.0849124613737,9199858888.681808
0.62,1260900000.0,low,0.5,0.13610586011342157,1.2584795890195335,3812,4797.3241933424615,10948592396.447773
0.63,1260900000.0,low,0.5,0.15973534971644618,1.4723307994008532,3824,5630.192976908863,12849389687.497736
0.64,1260900000.0,low,0.5,0.18525519848771274,1.7044352031220502,3831,6529.691263160575,14902250761.831694
0.65,1260900000.0,low,0.5,0.2126654064272213,1.7367514022468948,4316,7495.819052097598,17107175619.44965
0.66,1260900000.0,low,0.5,0.2419659735349718,1.8540383355912904,4600,8528.576343719937,19464164260.351604
0.67,1260900000.0,low,0.5,0.27315689981096425,2.093035464788605,4600,9627.963138027582,21973216684.53755
0.68,1260900000.0,low,0.5,0.30623818525519875,2.346517268482727,4600,10793.979435020545,24634332892.007504
0.69,1260900000.0,low,0.5,0.34120982986767473,2.583038065871736,4656,12026.625234698802,27447512882.761414
0.7,1260900000.0,low,0.5,0.3780718336483931,2.8596353083824866,4660,13325.900537062387,30412756656.799355
0.71,1260900000.0,low,0.5,0.4168241965973535,3.1520715172948477,4661,14691.805342111285,33530064214.121296
0.72,1260900000.0,low,0.5,0.4574669187145558,3.4586743135661724,4662,16124.339649845495,36799435554.727234
0.73,1260900000.0,low,0.5,0.5,3.6907860649769657,4775,17623.503460265012,40220870678.61716
0.74,1260900000.0,low,0.5,0.5444234404536863,3.907411275375656,4911,19189.296773369846,43794369585.79109
0.75,1260900000.0,low,0.5,0.5907372400756145,4.17519943636655,4987,20821.719589159984,47519932276.24901
0.76,1260900000.0,low,0.5,0.6389413988657847,4.515895710374062,4987,22520.771907635448,51397558749.990944
0.77,1260900000.0,low,0.5,0.6890359168241968,4.844694539955359,5013,24286.453728796216,55427249007.01686
0.78,1260900000.0,low,0.5,0.741020793950851,5.210206473696847,5013,26118.765052642295,59609003047.326775
0.79,1260900000.0,low,0.5,0.7948960302457471,5.5778829144283675,5023,28017.70587917369,63942820870.92069
0.8,1260900000.0,low,0.5,0.8506616257088851,5.96563394516323,5026,29983.276208390394,68428702477.7986
0.81,1260900000.0,low,0.5,0.9083175803402652,5.66645593633494,5650,32015.47604029241,73066647867.96051
0.82,1260900000.0,low,0.5,0.9678638941398864,5.787971729704736,5894,34114.30537487972,77856657041.40636
0.83,1260900000.0,low,0.5,1.0,5.9760947644167555,5898,35247.006920530024,80441741357.23431
0.84,1260900000.0,low,0.5,1.0,5.963960561849412,5910,35247.006920530024,80441741357.23431
0.85,1260900000.0,low,0.5,1.0,5.79911268847154,6078,35247.006920530024,80441741357.23431
0.86,1260900000.0,low,0.5,1.0,5.764966784515869,6114,35247.006920530024,80441741357.23431
0.87,1260900000.0,low,0.5,1.0,5.7247047134205005,6157,35247.006920530024,80441741357.23431
0.88,1260900000.0,low,0.5,1.0,5.5664887745625435,6332,35247.006920530024,80441741357.23431
0.89,1260900000.0,low,0.5,1.0,5.160615947368964,6830,35247.006920530024,80441741357.23431
0.9,1260900000.0,low,0.5,1.0,4.869716347130426,7238,35247.006920530024,80441741357.23431
0.91,1260900000.0,low,0.5,1.0,4.868371121620168,7240,35247.00692053002,80441741357.23431
0.92,1260900000.0,low,0.5,1.0,4.865011307181508,7245,35247.006920530024,80441741357.23431
0.93,1260900000.0,low,0.5,1.0,4.852954277919595,7263,35247.006920530024,80441741357.23431
0.94,1260900000.0,low,0.5,1.0,4.776664442408189,7379,35247.00692053003,80441741357.23431
0.95,1260900000.0,low,0.5,1.0,4.747071639128623,7425,35247.006920530024,80441741357.23431
0.96,1260900000.0,low,0.5,1.0,4.732412314786522,7448,35247.00692053002,80441741357.23431
