tau_true,category,tau_pred,TP,FP,TN,FN,Precision,Recall,TPR,FPR,prevalence
0.5,HATEFUL_CONDUCT,0.64,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.65,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.66,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.67,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.68,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.69,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.7,100,558,98695,647,0.1519756838905775,0.13386880856760375,0.13386880856760375,0.005621996312454032,0.00747
0.5,HATEFUL_CONDUCT,0.71,97,532,98721,650,0.15421303656597773,0.12985274431057564,0.12985274431057564,0.005360039495027858,0.00747
0.5,HATEFUL_CONDUCT,0.72,97,532,98721,650,0.15421303656597773,0.12985274431057564,0.12985274431057564,0.005360039495027858,0.00747
0.5,HATEFUL_CONDUCT,0.73,84,487,98766,663,0.14711033274956217,0.11244979919678715,0.11244979919678715,0.004906652695636404,0.00747
0.5,HATEFUL_CONDUCT,0.74,66,318,98935,681,0.171875,0.08835341365461848,0.08835341365461848,0.003203933382366276,0.00747
0.5,HATEFUL_CONDUCT,0.75,66,316,98937,681,0.17277486910994763,0.08835341365461848,0.08835341365461848,0.003183782857948878,0.00747
0.5,HATEFUL_CONDUCT,0.76,64,301,98952,683,0.17534246575342466,0.0856760374832664,0.0856760374832664,0.0030326539248183935,0.00747
0.5,HATEFUL_CONDUCT,0.77,59,251,99002,688,0.19032258064516128,0.07898259705488621,0.07898259705488621,0.002528890814383444,0.00747
0.5,HATEFUL_CONDUCT,0.78,59,251,99002,688,0.19032258064516128,0.07898259705488621,0.07898259705488621,0.002528890814383444,0.00747
0.5,HATEFUL_CONDUCT,0.79,59,251,99002,688,0.19032258064516128,0.07898259705488621,0.07898259705488621,0.002528890814383444,0.00747
0.5,HATEFUL_CONDUCT,0.8,59,251,99002,688,0.19032258064516128,0.07898259705488621,0.07898259705488621,0.002528890814383444,0.00747
0.5,HATEFUL_CONDUCT,0.81,59,251,99002,688,0.19032258064516128,0.07898259705488621,0.07898259705488621,0.002528890814383444,0.00747
0.5,HATEFUL_CONDUCT,0.82,58,250,99003,689,0.18831168831168832,0.07764390896921017,0.07764390896921017,0.0025188155521747454,0.00747
0.5,HATEFUL_CONDUCT,0.83,39,142,99111,708,0.2154696132596685,0.05220883534136546,0.05220883534136546,0.0014306872336352554,0.00747
0.5,HATEFUL_CONDUCT,0.84,39,142,99111,708,0.2154696132596685,0.05220883534136546,0.05220883534136546,0.0014306872336352554,0.00747
0.5,HATEFUL_CONDUCT,0.85,39,142,99111,708,0.2154696132596685,0.05220883534136546,0.05220883534136546,0.0014306872336352554,0.00747
0.5,HATEFUL_CONDUCT,0.86,38,124,99129,709,0.2345679012345679,0.050870147255689425,0.050870147255689425,0.0012493325138786737,0.00747
0.5,HATEFUL_CONDUCT,0.87,31,72,99181,716,0.30097087378640774,0.041499330655957165,0.041499330655957165,0.0007254188790263267,0.00747
0.5,HATEFUL_CONDUCT,0.88,30,71,99182,717,0.297029702970297,0.040160642570281124,0.040160642570281124,0.0007153436168176277,0.00747
0.5,HATEFUL_CONDUCT,0.89,22,32,99221,725,0.4074074074074074,0.029451137884872823,0.029451137884872823,0.0003224083906783674,0.00747
0.5,HATEFUL_CONDUCT,0.9,22,30,99223,725,0.4230769230769231,0.029451137884872823,0.029451137884872823,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.91,22,30,99223,725,0.4230769230769231,0.029451137884872823,0.029451137884872823,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.92,21,30,99223,726,0.4117647058823529,0.028112449799196786,0.028112449799196786,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.93,20,30,99223,727,0.4,0.02677376171352075,0.02677376171352075,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.94,20,30,99223,727,0.4,0.02677376171352075,0.02677376171352075,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.95,20,30,99223,727,0.4,0.02677376171352075,0.02677376171352075,0.0003022578662609694,0.00747
0.5,HATEFUL_CONDUCT,0.96,15,22,99231,732,0.40540540540540543,0.020080321285140562,0.020080321285140562,0.0002216557685913776,0.00747
0.5,HATEFUL_CONDUCT,0.97,15,22,99231,732,0.40540540540540543,0.020080321285140562,0.020080321285140562,0.0002216557685913776,0.00747
0.5,HATEFUL_CONDUCT,0.98,15,22,99231,732,0.40540540540540543,0.020080321285140562,0.020080321285140562,0.0002216557685913776,0.00747
0.5,HATEFUL_CONDUCT,0.99,15,22,99231,732,0.40540540540540543,0.020080321285140562,0.020080321285140562,0.0002216557685913776,0.00747
0.5,HATEFUL_CONDUCT,1.0,0,0,99253,747,,0.0,0.0,0.0,0.00747
0.5,VIOLENCE_INCITEMENT,0.0,257,99743,0,0,0.00257,1.0,1.0,1.0,0.00257
0.5,VIOLENCE_INCITEMENT,0.01,249,22185,77558,8,0.011099224391548543,0.9688715953307393,0.9688715953307393,0.22242162357258152,0.00257
0.5,VIOLENCE_INCITEMENT,0.02,248,14674,85069,9,0.01661975606487066,0.9649805447470817,0.9649805447470817,0.14711809350029575,0.00257
0.5,VIOLENCE_INCITEMENT,0.03,241,11464,88279,16,0.0205894916702264,0.9377431906614786,0.9377431906614786,0.11493538393671736,0.00257
0.5,VIOLENCE_INCITEMENT,0.04,240,10282,89461,17,0.022809351834252044,0.933852140077821,0.933852140077821,0.10308492826564271,0.00257
0.5,VIOLENCE_INCITEMENT,0.05,235,9642,90101,22,0.023792649589956465,0.914396887159533,0.914396887159533,0.09666843788536539,0.00257
0.5,VIOLENCE_INCITEMENT,0.06,235,9641,90102,22,0.023795058728230054,0.914396887159533,0.914396887159533,0.0966584121191462,0.00257
0.5,VIOLENCE_INCITEMENT,0.07,235,9641,90102,22,0.023795058728230054,0.914396887159533,0.914396887159533,0.0966584121191462,0.00257
0.5,VIOLENCE_INCITEMENT,0.08,233,8741,91002,24,0.02596389569868509,0.9066147859922179,0.9066147859922179,0.08763522252188123,0.00257
0.5,VIOLENCE_INCITEMENT,0.09,231,7826,91917,26,0.028670721112076455,0.8988326848249028,0.8988326848249028,0.07846164643132851,0.00257
0.5,VIOLENCE_INCITEMENT,0.1,231,7689,92054,26,0.029166666666666667,0.8988326848249028,0.8988326848249028,0.0770881164593004,0.00257
0.5,VIOLENCE_INCITEMENT,0.11,230,7580,92163,27,0.029449423815621,0.8949416342412452,0.8949416342412452,0.07599530794140942,0.00257
0.5,VIOLENCE_INCITEMENT,0.12,227,7158,92585,30,0.030737982396750168,0.8832684824902723,0.8832684824902723,0.07176443459691408,0.00257
0.5,VIOLENCE_INCITEMENT,0.13,217,6103,93640,40,0.034335443037974686,0.8443579766536965,0.8443579766536965,0.061187251235675685,0.00257
0.5,VIOLENCE_INCITEMENT,0.14,217,6103,93640,40,0.034335443037974686,0.8443579766536965,0.8443579766536965,0.061187251235675685,0.00257
0.5,VIOLENCE_INCITEMENT,0.15,217,6059,93684,40,0.0345761631612492,0.8443579766536965,0.8443579766536965,0.06074611752203162,0.00257
0.5,VIOLENCE_INCITEMENT,0.16,215,5899,93844,42,0.03516519463526333,0.8365758754863813,0.8365758754863813,0.059141994926962295,0.00257
0.5,VIOLENCE_INCITEMENT,0.17,215,5899,93844,42,0.03516519463526333,0.8365758754863813,0.8365758754863813,0.059141994926962295,0.00257
0.5,VIOLENCE_INCITEMENT,0.18,215,5898,93845,42,0.035170947161786356,0.8365758754863813,0.8365758754863813,0.05913196916074311,0.00257
0.5,VIOLENCE_INCITEMENT,0.19,212,5149,94594,45,0.03954486103338929,0.8249027237354085,0.8249027237354085,0.05162267026257482,0.00257
0.5,VIOLENCE_INCITEMENT,0.2,212,4941,94802,45,0.041141082864350864,0.8249027237354085,0.8249027237354085,0.04953731088898469,0.00257
0.5,VIOLENCE_INCITEMENT,0.21,203,4307,95436,54,0.04501108647450111,0.7898832684824902,0.7898832684824902,0.04318097510602248,0.00257
0.5,VIOLENCE_INCITEMENT,0.22,203,4307,95436,54,0.04501108647450111,0.7898832684824902,0.7898832684824902,0.04318097510602248,0.00257
0.5,VIOLENCE_INCITEMENT,0.23,202,4246,95497,55,0.045413669064748204,0.7859922178988327,0.7859922178988327,0.0425694033666523,0.00257
0.5,VIOLENCE_INCITEMENT,0.24,202,4244,95499,55,0.04543409806567701,0.7859922178988327,0.7859922178988327,0.04254935183421393,0.00257
0.5,VIOLENCE_INCITEMENT,0.25,202,4174,95569,55,0.04616087751371115,0.7859922178988327,0.7859922178988327,0.0418475481988711,0.00257
0.5,VIOLENCE_INCITEMENT,0.26,201,4171,95572,56,0.0459743824336688,0.7821011673151751,0.7821011673151751,0.04181747090021355,0.00257
0.5,VIOLENCE_INCITEMENT,0.27,201,4168,95575,56,0.046005951018539715,0.7821011673151751,0.7821011673151751,0.041787393601556,0.00257
0.5,VIOLENCE_INCITEMENT,0.28,201,4168,95575,56,0.046005951018539715,0.7821011673151751,0.7821011673151751,0.041787393601556,0.00257
0.5,VIOLENCE_INCITEMENT,0.29,199,4042,95701,58,0.046922895543503894,0.77431906614786,0.77431906614786,0.0405241470579389,0.00257
0.5,VIOLENCE_INCITEMENT,0.3,199,4042,95701,58,0.046922895543503894,0.77431906614786,0.77431906614786,0.0405241470579389,0.00257
0.5,VIOLENCE_INCITEMENT,0.31,199,4042,95701,58,0.046922895543503894,0.77431906614786,0.77431906614786,0.0405241470579389,0.00257
0.5,VIOLENCE_INCITEMENT,0.32,199,4042,95701,58,0.046922895543503894,0.77431906614786,0.77431906614786,0.0405241470579389,0.00257
0.5,VIOLENCE_INCITEMENT,0.33,199,4041,95702,58,0.04693396226415095,0.77431906614786,0.77431906614786,0.04051412129171972,0.00257
0.5,VIOLENCE_INCITEMENT,0.34,199,4001,95742,58,0.04738095238095238,0.77431906614786,0.77431906614786,0.04011309064295239,0.00257
0.5,VIOLENCE_INCITEMENT,0.35,199,3923,95820,58,0.0482775351770985,0.77431906614786,0.77431906614786,0.03933108087785609,0.00257
0.5,VIOLENCE_INCITEMENT,0.36,183,3108,96635,74,0.05560619872379216,0.7120622568093385,0.7120622568093385,0.0311600814092217,0.00257
