app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.27,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0702231714750674,0.0,13372.592007817744,17.52988,3118.330152521843,0.0,16490.922160339585,17.52988,16508.452040339584
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.06,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0457387183441116,0.0,13372.592007817744,17.52988,2031.0735267886196,0.0,15403.665534606364,17.52988,15421.195414606364
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.06,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0457387183441116,0.0,13372.592007817744,17.52988,2031.0735267886196,0.0,15403.665534606364,17.52988,15421.195414606364
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.06,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0457387183441116,0.0,13372.592007817744,17.52988,2031.0735267886196,0.0,15403.665534606364,17.52988,15421.195414606364
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.06,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0457387183441116,0.0,13372.592007817744,17.52988,2031.0735267886196,0.0,15403.665534606364,17.52988,15421.195414606364
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.12,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0914774366882233,0.0,13372.592007817744,17.52988,4062.1470535772437,0.0,17434.739061394986,17.52988,17452.268941394985
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.12,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0914774366882233,0.0,13372.592007817744,17.52988,4062.1470535772437,0.0,17434.739061394986,17.52988,17452.268941394985
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.12,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0914774366882233,0.0,13372.592007817744,17.52988,4062.1470535772437,0.0,17434.739061394986,17.52988,17452.268941394985
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.12,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0914774366882233,0.0,13372.592007817744,17.52988,4062.1470535772437,0.0,17434.739061394986,17.52988,17452.268941394985
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.27,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.2058242325485024,0.0,13372.592007817744,17.52988,9139.830870548798,0.0,22512.422878366542,17.52988,22529.95275836654
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.27,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.2058242325485024,0.0,13372.592007817744,17.52988,9139.830870548798,0.0,22512.422878366542,17.52988,22529.95275836654
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.27,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.2058242325485024,0.0,13372.592007817744,17.52988,9139.830870548798,0.0,22512.422878366542,17.52988,22529.95275836654
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,low,1260900000.0,0.27,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.2058242325485024,0.0,13372.592007817744,17.52988,9139.830870548798,0.0,22512.422878366542,17.52988,22529.95275836654
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.06,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0236865245441475,0.0,13372.592007817744,17.52988,1051.8238089074139,0.0,14424.415816725159,17.52988,14441.945696725159
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.06,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0236865245441475,0.0,13372.592007817744,17.52988,1051.8238089074139,0.0,14424.415816725159,17.52988,14441.945696725159
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,mid,2434800000.0,0.06,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0236865245441475,0.0,13372.592007817744,17.52988,1051.8238089074139,0.0,14424.415816725159,17.52988,14441.945696725159
